city,cloudiness,date,country,humidity,lat,lng,max_temp,wind_speed
rosario,26,1586654894,AR,72,-32.95,-60.64,66.99,3.33
mahon,39,1586654894,ES,87,39.89,4.27,55.4,8.05
kashary,45,1586654894,RU,70,49.04,41.01,39.0,10.02
semey,56,1586654894,KZ,74,50.41,80.23,32.0,6.35
wokha,0,1586654894,IN,40,26.1,94.27,54.12,3.09
nanchang,13,1586654806,CN,63,28.68,115.88,52.3,9.98
urengoy,100,1586654895,RU,96,65.97,78.37,26.02,10.56
sur,18,1586654738,OM,69,22.57,59.53,77.77,13.85
channel-port aux basques,60,1586654895,CA,96,47.57,-59.14,31.84,18.19
upata,99,1586654895,VE,55,8.01,-62.4,79.12,8.05
hualmay,30,1586654896,PE,75,-11.1,-77.61,73.4,5.97
kaitangata,93,1586654896,NZ,80,-46.28,169.85,59.0,10.87
formosa do rio preto,99,1586654896,BR,79,-11.05,-45.19,73.04,2.17
pinotepa nacional,76,1586654897,MX,46,16.32,-98.02,86.29,7.65
lugovoy,100,1586654897,KZ,48,42.95,72.76,51.4,3.4
taoudenni,0,1586654898,ML,12,22.68,-3.98,86.47,9.42
penzance,0,1586654898,GB,76,50.12,-5.54,53.01,1.12
maridi,100,1586654898,SS,75,4.92,29.47,71.24,4.18
mezen,4,1586654899,RU,96,65.85,44.24,16.95,4.97
dwarka,33,1586654745,IN,74,22.24,68.97,80.11,13.44
bongandanga,100,1586654718,CD,87,1.5,21.05,71.31,4.79
olafsvik,58,1586654775,IS,84,64.89,-23.71,35.1,28.63
labrea,60,1586654902,BR,85,-7.26,-64.8,77.52,1.59
praia da vitoria,40,1586654902,PT,82,38.73,-27.07,60.8,11.16
vestmannaeyjar,100,1586654903,IS,84,63.44,-20.27,43.2,8.34
narasannapeta,0,1586654904,IN,88,18.42,84.05,76.91,4.79
nouadhibou,0,1586654904,MR,72,20.93,-17.03,68.0,19.46
conceicao do araguaia,73,1586654905,BR,83,-8.26,-49.26,76.42,3.24
kaili,85,1586654905,ID,69,-3.46,120.21,74.8,3.91
stornoway,100,1586654906,GB,87,58.21,-6.39,43.0,4.7
miandrivazo,91,1586654906,MG,80,-19.52,45.47,77.04,1.7
cap malheureux,40,1586654907,MU,78,-19.98,57.61,78.01,14.99
tautira,99,1586654907,PF,66,-17.73,-149.15,86.0,9.17
yeppoon,90,1586654907,AU,42,-23.13,150.73,84.2,9.17
taltal,21,1586654907,CL,76,-25.4,-70.48,63.19,4.41
port-cartier,20,1586654908,CA,47,50.03,-66.87,36.0,8.05
bayangol,95,1586654909,RU,52,50.7,103.47,34.23,5.68
muroto,75,1586654909,JP,81,33.28,134.15,50.0,9.17
elko,90,1586654910,US,34,41.0,-115.5,57.2,5.82
vila,90,1586654910,PT,100,42.03,-8.16,55.0,3.36
katsuura,75,1586654910,JP,81,35.13,140.3,57.99,11.41
divnogorsk,0,1586654910,RU,87,55.96,92.36,32.0,4.09
tromso,40,1586654911,NO,74,69.65,18.96,30.2,26.4
san borja,16,1586654911,BO,69,-14.82,-66.85,71.47,1.63
nemencine,70,1586654911,LT,54,54.85,25.48,35.01,4.7
barinas,100,1586654911,VE,52,8.62,-70.21,84.49,1.14
shirokiy,0,1586654912,RU,61,49.76,129.52,47.37,6.67
auki,98,1586654912,SB,72,-8.77,160.7,83.57,0.74
dankov,13,1586654912,RU,80,53.25,39.16,32.0,22.37
fuerte olimpo,0,1586654645,PY,44,-21.04,-57.87,70.02,0.72
torremolinos,75,1586654914,ES,87,36.62,-4.5,59.0,2.24
namatanai,97,1586654915,PG,72,-3.67,152.43,83.79,1.83
stokmarknes,100,1586654915,NO,64,68.56,14.91,30.0,4.0
pesaro,14,1586654915,IT,75,43.9,12.89,57.0,1.12
rosarito,20,1586654685,MX,77,32.33,-117.03,64.99,13.87
puerto padre,0,1586654916,CU,65,21.2,-76.6,80.6,11.41
tiksi,59,1586654916,RU,91,71.69,128.87,7.72,17.87
faya,38,1586654916,SA,67,18.39,42.45,64.4,4.18
panjab,89,1586654917,AF,35,34.39,67.02,34.93,1.45
ardatov,100,1586654917,RU,83,55.24,43.1,32.41,13.27
san jose,20,1586654820,US,67,37.34,-121.89,64.99,11.41
marawi,64,1586654918,PH,55,8.0,124.29,77.59,1.61
acarau,100,1586654918,BR,87,-2.89,-40.12,78.62,4.34
umm lajj,18,1586654918,SA,52,25.02,37.27,68.04,9.95
antalaha,17,1586654919,MG,84,-14.9,50.28,76.33,12.57
zarautz,75,1586654920,ES,100,43.28,-2.17,60.01,1.32
fastiv,0,1586654920,UA,73,50.08,29.92,32.0,4.47
kattivakkam,40,1586654920,IN,88,13.22,80.32,81.0,2.24
jinchang,19,1586654920,CN,26,38.5,102.17,40.08,4.38
yacuiba,0,1586654921,BO,52,-22.04,-63.68,63.34,2.55
vao,31,1586654921,NC,75,-22.67,167.48,76.71,13.94
rundu,91,1586654921,NA,88,-17.93,19.77,66.2,2.24
monrovia,26,1586654903,LR,82,6.3,-10.8,81.05,5.75
lagos,20,1586654703,NG,83,6.58,3.75,82.4,2.24
byron bay,40,1586654922,AU,53,-28.65,153.62,75.2,17.22
akureyri,90,1586654922,IS,93,65.68,-18.09,32.0,24.16
banes,0,1586654922,CU,65,20.96,-75.72,80.6,11.41
ola,95,1586654922,RU,90,59.58,151.28,21.54,3.4
bar-le-duc,50,1586654925,FR,66,48.75,5.17,55.4,2.24
ahmadpur east,83,1586654925,PK,29,29.14,71.26,82.98,3.13
enid,90,1586654926,US,100,36.4,-97.88,66.99,19.46
launceston,19,1586654806,AU,58,-41.45,147.17,61.0,10.29
kulaman,70,1586654926,PH,67,6.46,124.09,82.44,1.21
pitimbu,20,1586654926,BR,83,-7.47,-34.81,78.8,4.7
umm kaddadah,96,1586654705,SD,15,13.6,26.69,75.97,15.75
soria,88,1586654927,ES,96,41.67,-2.67,46.99,1.01
blagoyevo,99,1586654927,RU,94,63.37,47.92,19.18,1.79
lafia,99,1586654927,NG,62,8.48,8.52,78.76,2.71
kurikka,100,1586654929,FI,74,62.62,22.42,30.2,6.93
montepuez,77,1586654929,MZ,86,-13.13,39.0,66.29,6.26
durusu,40,1586654930,TR,100,41.31,28.68,46.99,5.82
suleja,100,1586654687,NG,74,9.18,7.18,80.6,2.24
bowling green,40,1586654857,US,68,36.99,-86.44,60.8,3.36
husavik,90,1586654930,IS,96,66.04,-17.34,32.0,24.16
port said,0,1586654932,EG,77,31.26,32.28,60.8,8.05
buala,91,1586654705,SB,73,-8.14,159.59,83.97,5.44
riohacha,86,1586654932,CO,75,11.54,-72.91,82.54,12.24
havelock,1,1586654810,US,58,34.88,-76.9,60.8,4.7
asyut,0,1586654933,EG,41,27.18,31.18,57.2,8.05
sfantu gheorghe,62,1586654933,RO,53,45.87,25.78,42.01,3.0
batagay-alyta,90,1586654933,RU,87,67.8,130.41,25.52,4.29
garmsar,11,1586654933,IR,44,35.22,52.34,56.08,3.94
sistranda,75,1586654934,NO,87,63.73,8.83,44.6,19.46
chake chake,99,1586654934,TZ,81,-5.25,39.77,81.72,14.54
muisne,100,1586654934,EC,86,0.6,-80.03,77.14,0.63
los llanos de aridane,90,1586654935,ES,72,28.66,-17.92,68.0,9.17
kirando,87,1586654935,TZ,59,-7.42,30.6,73.67,6.2
nador,90,1586654935,MA,82,35.17,-2.93,60.8,10.29
anchorage,1,1586654917,US,27,61.22,-149.9,41.0,5.82
fukuma,75,1586654936,JP,93,33.77,130.47,51.01,3.36
may pen,20,1586654936,JM,74,17.96,-77.25,84.2,9.17
machico,40,1586654936,PT,67,32.7,-16.77,62.6,12.75
coihaique,99,1586654697,CL,61,-45.58,-72.07,46.4,4.7
paredon,41,1586654937,MX,62,16.03,-93.87,85.66,7.0
beringovskiy,94,1586654937,RU,94,63.05,179.32,14.11,10.87
dunedin,100,1586654816,NZ,81,-45.87,170.5,57.99,13.04
omsk,27,1586654913,RU,69,55.0,73.4,33.8,2.24
bhadrak,0,1586654938,IN,85,21.06,86.51,75.7,6.4
fonte boa,100,1586654939,BR,97,-2.5,-66.27,74.1,7.7
kaeo,87,1586654940,NZ,82,-35.1,173.78,69.01,13.0
daro,62,1586654940,GN,77,8.52,-9.57,71.33,1.28
hamilton,20,1586654725,US,37,39.18,-84.53,57.2,6.93
karaikkudi,2,1586654940,IN,80,10.07,78.78,77.5,6.49
yar-sale,44,1586655008,RU,91,66.83,70.83,12.34,4.05
chino valley,75,1586654876,US,61,34.76,-112.45,53.01,11.41
aromashevo,84,1586654644,RU,80,56.86,68.64,36.57,3.85
bowen,0,1586655009,AU,48,-20.02,148.23,88.0,6.93
rincon,20,1586654286,US,52,32.3,-81.24,66.99,5.82
kalat,63,1586655010,PK,23,29.02,66.59,62.58,9.04
ilanskiy,0,1586655010,RU,59,56.24,96.06,41.25,11.63
kalisz,76,1586654970,PL,63,51.76,18.09,37.0,1.99
takoradi,51,1586655011,GH,84,4.88,-1.76,80.46,3.6
talnakh,75,1586654992,RU,93,69.49,88.4,33.8,33.55
roald,100,1586655012,NO,87,62.58,6.13,46.4,24.16
donghai,0,1586655012,CN,47,22.95,115.64,68.77,17.63
comodoro rivadavia,0,1586654979,AR,43,-45.87,-67.5,53.6,16.11
russell,1,1586655013,US,67,32.35,-85.2,66.2,4.7
sokolow podlaski,97,1586655013,PL,52,52.41,22.25,35.01,8.21
coracora,14,1586655013,PE,28,-15.03,-73.78,48.56,1.54
kjollefjord,100,1586655013,NO,92,70.95,27.35,26.11,8.3
evensk,100,1586655014,RU,88,61.95,159.23,15.84,0.69
broome,1,1586655014,US,47,42.25,-75.83,37.99,8.05
aykhal,40,1586655014,RU,68,66.0,111.5,26.6,8.95
brezova pod bradlom,9,1586655014,SK,69,48.66,17.54,44.6,4.7
bonavista,45,1586655015,CA,84,48.65,-53.11,34.0,14.0
san quintin,10,1586654940,MX,73,30.48,-115.95,61.56,18.84
zhigalovo,100,1586655015,RU,59,54.81,105.16,40.3,7.07
iskateley,67,1586655016,RU,96,67.68,53.15,13.03,9.51
michigan city,90,1586655016,US,50,41.71,-86.89,59.0,5.82
maceio,20,1586654972,BR,94,-9.67,-35.74,77.0,4.7
pombia,0,1586655017,IT,61,45.65,8.63,60.01,3.36
seshcha,0,1586655018,RU,88,53.74,33.34,30.2,6.35
bukama,100,1586655018,CD,76,-9.2,25.85,67.78,1.77
manokwari,22,1586655019,ID,76,-0.87,134.08,82.26,2.82
hay river,75,1586654967,CA,61,60.82,-115.8,17.6,5.82
siemiatycze,96,1586655019,PL,68,52.43,22.86,37.2,7.52
cartagena,75,1586655019,CO,83,10.4,-75.51,82.4,8.05
primorsk,0,1586655020,UA,68,46.73,36.34,40.82,16.13
south daytona,90,1586655020,US,78,29.17,-81.0,73.99,6.93
pacific grove,90,1586655020,US,76,36.62,-121.92,63.0,6.93
marsa matruh,0,1586655021,EG,70,31.35,27.25,58.96,6.64
dovers,26,1586655021,VC,78,12.88,-61.18,79.25,18.77
mayumba,98,1586655021,GA,87,-3.43,10.66,77.72,11.21
