city,cloudiness,date,country,humidity,lat,lng,max_temp,wind_speed
san juan,82,1586654623,AR,35,-31.54,-68.54,72.82,9.62
janauba,80,1586654797,BR,75,-15.8,-43.31,72.9,4.68
chuy,12,1586654736,UY,76,-33.7,-53.46,62.17,6.55
cockburn town,0,1586654798,TC,77,21.46,-71.14,79.61,13.73
mehamn,81,1586654798,NO,95,71.04,27.85,23.5,8.03
mandalgarh,0,1586654798,IN,26,25.2,75.1,79.12,5.1
naugatuck,1,1586654799,US,33,41.49,-73.05,48.99,3.36
perth,90,1586654799,AU,83,-31.93,115.83,77.0,1.12
makakilo city,20,1586654700,US,58,21.35,-158.09,82.4,12.75
beyneu,21,1586654799,KZ,50,45.32,55.2,49.01,3.71
nanzhang,0,1586654800,CN,46,31.78,111.84,55.13,2.66
khash,100,1586654801,IR,23,28.22,61.22,69.31,4.07
erzin,20,1586654801,TR,82,36.96,36.2,57.2,6.93
ostrovnoy,23,1586654802,RU,93,68.05,39.51,14.65,11.5
morehead,75,1586654802,US,41,37.27,-87.18,60.8,3.36
lebu,0,1586654802,CL,70,-37.62,-73.65,53.4,15.01
san patricio,40,1586654803,MX,74,19.22,-104.7,82.4,14.67
upernavik,100,1586654803,GL,88,72.79,-56.15,19.87,1.63
bengkulu,72,1586654803,ID,81,-3.8,102.27,79.36,5.48
eucaliptus,0,1586654803,BO,10,-17.58,-67.52,50.74,14.67
lavrentiya,96,1586654804,RU,97,65.58,-171.0,32.22,11.36
souillac,40,1586654804,MU,78,-20.52,57.52,78.01,14.99
sisimiut,88,1586654804,GL,79,66.94,-53.67,34.63,6.78
tandlianwala,63,1586654804,PK,36,31.03,73.13,75.24,2.01
lorengau,44,1586654805,PG,68,-2.02,147.27,85.15,3.06
walvis bay,0,1586654806,NA,68,-22.96,14.51,68.0,3.36
luangwa,96,1586654807,ZM,73,-15.62,30.42,68.67,2.64
kahului,1,1586654807,US,58,20.89,-156.47,82.4,14.99
narsaq,100,1586654807,GL,36,60.92,-46.05,46.4,39.15
caravelas,38,1586654718,BR,86,-17.71,-39.25,78.42,7.36
gayny,100,1586654808,RU,97,60.31,54.32,27.95,7.4
dikson,100,1586654808,RU,96,73.51,80.55,14.0,14.5
bagdarin,58,1586654809,RU,41,54.43,113.6,42.4,1.21
kushiro,20,1586654809,JP,60,42.98,144.37,39.2,5.82
sao francisco de paula,12,1586654549,BR,92,-29.45,-50.58,64.0,3.42
bastia,0,1586654810,FR,43,42.67,9.33,59.0,11.41
naze,75,1586654810,JP,83,28.37,129.48,69.8,16.11
brigantine,1,1586654810,US,39,39.41,-74.36,52.0,6.69
svetlaya,12,1586654810,RU,73,46.54,138.33,38.46,3.0
sorland,100,1586654811,NO,81,67.67,12.69,34.7,16.26
ixtapa,75,1586654811,MX,69,20.7,-105.2,77.0,10.29
urbino,5,1586654812,IT,75,43.73,12.64,57.0,1.12
touros,20,1586654813,BR,88,-5.2,-35.46,78.8,3.36
carndonagh,100,1586654814,IE,88,55.25,-7.27,47.43,1.86
faanui,54,1586654814,PF,76,-16.48,-151.75,82.6,14.23
leningradskiy,74,1586654814,RU,86,69.38,178.42,17.37,2.91
baryatino,0,1586654814,RU,89,54.31,34.52,30.0,5.66
juegang,36,1586654815,CN,69,32.32,121.19,55.99,1.01
saint george,1,1586654815,US,32,37.1,-113.58,68.0,13.87
port hardy,20,1586654815,CA,39,50.7,-127.42,55.4,11.41
noumea,38,1586654598,NC,45,-22.28,166.46,87.8,9.17
itabira,1,1586654816,BR,83,-19.62,-43.23,71.6,3.36
desaguadero,0,1586654816,PE,16,-16.57,-69.04,48.76,5.14
teya,0,1586654816,RU,94,60.38,92.63,25.86,3.42
tias,19,1586654816,ES,68,28.96,-13.64,64.4,6.93
tynda,94,1586654817,RU,74,55.17,124.72,36.0,2.51
codrington,95,1586654817,AU,62,-38.27,141.97,55.71,9.84
nha trang,20,1586654818,VN,79,12.25,109.18,86.0,4.7
ancud,23,1586654818,CL,100,-41.87,-73.82,39.2,4.7
cherskiy,96,1586654818,RU,96,68.75,161.3,19.17,14.2
valparai,20,1586654819,IN,88,10.37,76.97,80.6,1.61
ambon,40,1586654819,ID,70,-3.7,128.18,87.8,3.36
robe,76,1586654819,AU,58,-37.18,139.75,56.52,6.96
pozo colorado,0,1586654819,PY,45,-23.49,-58.8,66.24,4.23
isangel,20,1586654820,VU,66,-19.55,169.27,84.2,3.36
berdigestyakh,100,1586654820,RU,86,62.1,126.7,33.15,10.18
lusambo,100,1586654820,CD,83,-4.97,23.45,72.61,1.32
victoria,20,1586654601,HK,52,22.29,114.16,69.01,13.87
vestmanna,99,1586654821,FO,80,62.16,-7.17,39.2,24.16
stromness,100,1586654821,GB,81,58.97,-3.3,45.0,17.22
tasiilaq,90,1586654822,GL,62,65.61,-37.64,24.8,8.05
ust-nera,78,1586654822,RU,88,64.57,143.2,23.58,6.49
vizinga,100,1586654822,RU,96,61.07,50.1,21.72,3.53
tuktoyaktuk,20,1586654823,CA,84,69.45,-133.04,8.6,10.29
tiassale,100,1586654823,CI,91,5.9,-4.83,77.14,2.33
sao filipe,90,1586654823,CV,75,14.9,-24.5,74.95,10.78
qeshm,100,1586654824,IR,78,26.96,56.27,78.8,6.93
mount isa,1,1586654824,AU,13,-20.73,139.5,84.2,11.41
requena,97,1586654824,ES,76,39.49,-1.1,57.99,4.7
pevek,54,1586654824,RU,91,69.7,170.31,9.86,14.79
anyama,100,1586654825,CI,94,5.49,-4.05,78.8,3.36
kangaba,99,1586654825,ML,39,11.93,-8.42,85.75,4.12
kruisfontein,96,1586654825,ZA,53,-34.0,24.73,61.29,7.02
guerrero negro,3,1586654814,MX,61,27.98,-114.06,64.11,20.54
grants,40,1586654826,US,36,35.15,-107.85,48.2,20.8
davila,75,1586654827,PH,70,18.47,120.58,84.2,4.7
constitucion,73,1586654828,CL,80,-35.33,-72.42,53.71,12.62
san cristobal,75,1586654828,VE,61,7.77,-72.22,70.25,1.14
ballina,40,1586654828,AU,53,-28.87,153.57,73.4,17.22
lasa,5,1586654828,IT,80,46.62,10.7,52.0,5.82
kutum,55,1586654829,SD,16,14.2,24.67,66.74,8.21
bahia blanca,94,1586654537,AR,71,-38.72,-62.27,63.28,14.47
aswan,5,1586654829,EG,25,24.09,32.91,64.4,11.41
lompoc,90,1586654823,US,76,34.64,-120.46,68.0,10.29
daru,90,1586654679,PG,74,-9.08,143.21,83.8,10.2
laguna,1,1586654830,US,72,38.42,-121.42,69.01,12.75
miles city,90,1586654830,US,92,46.41,-105.84,28.99,8.05
alibag,20,1586654744,IN,83,18.64,72.88,82.4,7.56
qaqortoq,100,1586654831,GL,36,60.72,-46.03,46.4,39.15
azare,100,1586654831,NG,14,11.68,10.19,80.65,7.52
mikhaylovka,8,1586654832,RU,83,50.06,43.24,34.0,1.01
cidreira,6,1586654832,BR,69,-30.18,-50.21,65.61,5.23
genhe,5,1586654832,CN,34,50.78,121.52,48.83,2.06
muravlenko,100,1586654832,RU,94,63.79,74.52,34.48,12.01
kalaleh,43,1586654832,IR,93,37.38,55.49,50.0,2.24
diamantino,82,1586654833,BR,81,-14.41,-56.45,73.18,0.85
verkhovazhye,9,1586654833,RU,93,60.75,42.05,24.31,3.38
sao joao da barra,99,1586654537,BR,90,-21.64,-41.05,71.8,15.43
ust-omchug,82,1586654834,RU,87,61.15,149.63,22.32,3.4
kiama,0,1586654834,AU,32,-34.68,150.87,66.99,5.82
batagay,100,1586654835,RU,87,67.63,134.63,31.77,7.09
yerbogachen,0,1586654568,RU,92,61.28,108.01,29.17,7.07
